RESPONSE,Gender,Age group,Educational attainment,Annual income,M_SPENDING,Y_TELCOM,Y_CURRENT,MINS_CALL,H_SCREEN,M_DATA,SATISFACTION,RECOMMEND,QUALITY,NETWORK,PAYMENT,PRICE,REASON,CHURN
R096,Female,26-35,Master's degree,"£60,000-£80,000",40,10,4,6,6.5,45,8,9,8,8,1,7,,7
R097,Female,26-35,High school diploma,"£20,000-£40,000",10,5,2,11,2.5,45,7,7,8,8,2,8,Faster,7
R098,Male,36-50,Master's degree,"£20,000-£40,000",£8000,3 years,2 years,6,6.5,10,4,8,6,5,2,7,,4
R099,Male,18-25,Master's degree,"£40,000-£60,000",100,1,1,16,3.5,20,5,7,9,6,1,7,0,9
R100,Female,26-35,Bachelor's degree,"£20,000-£40,000",,,,1,3.5,30,,,,,,,,
R101,Male,18-25,High school diploma,"Under £20,000",2.5 usd,7,5,16,10,35,8,5,8,9,1,6,,5
R102,Female,26-35,Master's degree,"£20,000-£40,000",20,1,1,1,5.5,15,1,2,3,2,1,3,,3
R103,Female,26-35,Bachelor's degree,"£40,000-£60,000",$30 ,3 years,1,6,17,25,8,8,8,8,1,8,"Price, service",8
R104,Female,26-35,High school diploma,"Under £20,000",4,2,2,16,17,7,9,9,10,8,1,8,,10
R105,Male,18-25,Bachelor's degree,"£60,000-£80,000",31GBP,6,5,6,18,30,8,7,8,8,1,6,Wave transmission speed,7
R106,Male,26-35,Master's degree,"£20,000-£40,000",32.22,4,2,16,17.5,40,8,5,7,8,1,8,,5
R107,Female,36-50,Bachelor's degree,"£60,000-£80,000",60000 GBP,15,3,11,4,9,6,6,7,8,1,6,Speed and Cost,7
R108,Male,26-35,Master's degree,"£60,000-£80,000",,9,9,1,18.5,40,1,1,2,2,1,10,.,1
R109,Male,26-35,Master's degree,"Under £20,000",10$,5,5,1,7,15,4,6,4,6,1,5,10,6
R110,Male,26-35,Master's degree,"£40,000-£60,000",,,,11,11.5,30,,,3,1,1,5,,1
R111,Male,26-35,Master's degree,"£20,000-£40,000",,,,16,14.5,35,2,3,3,6,2,3,,3
R112,Male,36-50,Bachelor's degree,"£20,000-£40,000",4,4,4,1,20,40,6,7,7,4,2,5,No,5
R113,Male,18-25,Master's degree,"£20,000-£40,000",20,14,10,11,20.5,35,6,8,8,7,2,8,",",8
R114,Male,26-35,Master's degree,"£20,000-£40,000",20,10,6,1,4,20,10,10,10,10,1,10,No,10
R115,Male,26-35,Master's degree,"£40,000-£60,000",10,7,7,1,16,20,5,5,5,5,1,6,Speed,5
R116,Male,18-25,High school diploma,"Under £20,000",$20 ,8,4,16,3,1,7,8,6,5,1,5,Standard ,6
R117,Female,18-25,Master's degree,"£40,000-£60,000",8,9,9,11,2,35,6,5,10,8,1,5,cost ,5
R118,Female,18-25,High school diploma,"Under £20,000",5,2,1,16,18,35,9,8,8,8,2,5,,5
R119,Male,18-25,High school diploma,"£20,000-£40,000",850,7 years ,3 years,16,1.5,15,8,7,7,8,1,7,Price,7
R120,Male,18-25,High school diploma,"Under £20,000",20,2,2,1,13.5,20,7,7,8,8,1,6,personal opinion,8
R121,Female,18-25,Bachelor's degree,"£20,000-£40,000",20000 vnd,9,3,11,9.5,35,6,5,7,7,1,7,,5
R122,Female,18-25,High school diploma,"Under £20,000",10 $,9 years,9 years,16,7.5,15,9,9,9,9,1,9,Cost,9
R123,Female,18-25,High school diploma,"£20,000-£40,000",40 pound,7 years,3 years,16,7,25,8,8,8,8,1,7,,8
R124,Female,18-25,High school diploma,"Under £20,000",400£,5,3,1,14.5,10,8,8,9,10,1,8,,8
